Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Away Tipper,First Scorer,Tip Winning Team,Tip Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon Team,Tip Winner,Tip Winner Link,Tip Loser,Tip Loser Link,Tip Winner Scores,Home TS Mu,Away TS Mu,Home TS Sigma,Away TS Sigma,Home Lifetime Appearances,Away Lifetime Appearances,Home Tipper Wins,Away Tipper Wins,Home Tipper Losses,Away Tipper Losses,Home Glicko Mu,Away Glicko Mu,Home Glicko Sigma,Away Glicko Sigma,Home Glicko Phi,Away Glicko Phi,Home Elo,Away Elo
201310290MIA,https://www.basketball-reference.com/boxscores/pbp/201310290MIA.html,Miami Heat,Chicago Bulls,MIA,CHI,C. Bosh,J. Noah,U. Haslem,CHI,MIA,C. Boozer,/players/b/boozeca01.html,MIA,CHI,J. Noah,/players/n/noahjo01.html,C. Bosh,/players/b/boshch01.html,0.0,25.10868144238909,26.28556420155336,0.8259537608910007,0.8303630303191514,601,342,338,210,263,132,1592.53341099211,1884.9591149732998,0.7205428453147047,0.6748520677950202,256.39047874081695,220.1462150135278,1290.8697390651707,1358.7243088454684
201310290LAL,https://www.basketball-reference.com/boxscores/pbp/201310290LAL.html,Los Angeles Lakers,Los Angeles Clippers,LAL,LAC,P. Gasol,D. Jordan,S. Williams,LAL,LAC,S. Williams,/players/w/willish03.html,LAL,LAC,P. Gasol,/players/g/gasolpa01.html,D. Jordan,/players/j/jordade01.html,1.0,24.82941025909084,27.668897007468328,0.8203442309515724,0.8476715544429324,592,253,311,171,283,84,1632.0942563139154,2200.2445761201707,0.7524962489993626,0.6344785551514766,232.755342517526,216.21800756198903,1270.84314404811,1415.853706065625
201310300CLE,https://www.basketball-reference.com/boxscores/pbp/201310300CLE.html,Cleveland Cavaliers,Brooklyn Nets,CLE,BRK,T. Thompson,B. Lopez,P. Pierce,BRK,CLE,K. Garnett,/players/g/garneke01.html,BRK,CLE,B. Lopez,/players/l/lopezbr01.html,T. Thompson,/players/t/thomptr01.html,1.0,17.63398550955206,24.47515443705384,1.7009257411165928,0.8259952937137084,29,318,6,158,23,160,1400.5242352923053,1459.572129869909,0.603019948195451,0.6643316941121792,252.23790839064358,218.25978104146785,1144.9173792975007,1276.911784778802
201310300TOR,https://www.basketball-reference.com/boxscores/pbp/201310300TOR.html,Toronto Raptors,Boston Celtics,TOR,BOS,Jonas Valanciunas,Brandon Bass,Vitor Faverani,TOR,BOS,,,BOS,TOR,Jonas Valanciunas,/players/v/valanjo01.html,Brandon Bass,/players/b/bassbr01.html,0.0,22.13906026324327,25.0,1.2836817568296384,8.333333333333334,45,0,20,0,25,1,1983.389551401883,1500.0,0.6098354778521679,0.6,229.30750668634738,500.0,1195.2652946288042,1200.0
201310300PHI,https://www.basketball-reference.com/boxscores/pbp/201310300PHI.html,Philadelphia 76ers,Miami Heat,PHI,MIA,S. Hawes,C. Bosh,M. Carter-Williams,MIA,PHI,L. James,/players/j/jamesle01.html,PHI,MIA,C. Bosh,/players/b/boshch01.html,S. Hawes,/players/h/hawessp01.html,0.0,22.558129224042343,25.034114547798396,0.8282447077672017,0.8258732145788842,263,602,111,338,152,263,1399.830263705589,1532.7401185477092,0.6478385528292899,0.7199773266210158,222.28684578073344,251.06437577999162,1181.4963930867416,1286.8340158938713
201310300DET,https://www.basketball-reference.com/boxscores/pbp/201310300DET.html,Detroit Pistons,Washington Wizards,DET,WAS,A. Drummond,N. Hilário,N. Hilário,DET,WAS,W. Bynum,/players/b/bynumwi01.html,WAS,DET,A. Drummond,/players/d/drumman01.html,N. Hilário,/players/h/hilarne01.html,0.0,30.712302522367693,24.188439024197013,2.9845257416364266,0.824053922136484,9,313,8,159,1,157,2069.1533679022014,1861.556909533382,0.600855553862208,0.6693885792595594,248.11272240348146,254.38276417918487,1236.2610551929456,1247.4458781983244
201310300NYK,https://www.basketball-reference.com/boxscores/pbp/201310300NYK.html,New York Knicks,Milwaukee Bucks,NYK,MIL,T. Chandler,L. Sanders,C. Anthony,NYK,MIL,R. Felton,/players/f/feltora01.html,NYK,MIL,T. Chandler,/players/c/chandty01.html,L. Sanders,/players/s/sandela01.html,1.0,24.805758445533737,23.061631969657878,0.8246549364739929,1.1062375462404606,631,63,363,30,268,35,1217.6673921496156,1650.350896797776,0.7022602639556214,0.6019288808000821,274.7007653887106,215.28461074274944,1282.9554661211573,1211.5018018646142
201310300NOP,https://www.basketball-reference.com/boxscores/pbp/201310300NOP.html,New Orleans Pelicans,Indiana Pacers,NOP,IND,A. Davis,R. Hibbert,J. Holiday,IND,NOP,D. West,/players/w/westda01.html,NOP,IND,R. Hibbert,/players/h/hibbero01.html,A. Davis,/players/d/davisan02.html,0.0,23.243802240045074,21.693931697133568,3.7856170262486404,0.8257293420288614,6,319,3,139,3,179,1298.552656714375,1358.301014424315,0.6002101680953077,0.6656795443105469,230.25519845123745,226.56987503364516,1203.0948341971664,1146.1309683412385
201310300MIN,https://www.basketball-reference.com/boxscores/pbp/201310300MIN.html,Minnesota Timberwolves,Orlando Magic,MIN,ORL,N. Peković,N. Vučević,A. Afflalo,MIN,ORL,K. Love,/players/l/loveke01.html,ORL,MIN,N. Peković,/players/p/pekovni01.html,N. Vučević,/players/v/vucevni01.html,0.0,24.89927352182879,20.310569127775086,0.9615193026635688,1.0196179100370977,103,91,56,29,47,63,1557.218177885982,1564.239949495312,0.6078908165607682,0.6146228741639966,220.8463994721922,214.4168842823126,1274.5729957067467,1137.4368929063528
201310300HOU,https://www.basketball-reference.com/boxscores/pbp/201310300HOU.html,Houston Rockets,Charlotte Bobcats,HOU,CHA,D. Howard,J. McRoberts,K. Walker,HOU,CHA,P. Beverley,/players/b/beverpa01.html,CHA,HOU,D. Howard,/players/h/howardw01.html,J. McRoberts,/players/m/mcrobjo01.html,0.0,27.292898363054803,24.772850015761456,0.8418679527925991,1.2236248708890478,691,49,450,27,244,23,1873.7353620732165,1659.684172922639,0.7088746827316806,0.6062058239219108,258.0518091104016,223.65218557602358,1393.1228895174554,1235.2228444185691
