,Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Away Tipper,First Scorer,Tipoff Winning Team,Tipoff Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon Team,Tipoff Winner,Tipoff Winner Link,Tipoff Loser,Tipoff Loser Link,Tipoff Winner Scores,Home Mu,Home Sigma,Away Mu,Away Sigma
0,199710310CHH,https://www.basketball-reference.com/boxscores/pbp/199710310CHH.html,Charlotte Hornets,New York Knicks,CHH,NYK,V. Divac,P. Ewing,L. Johnson,CHH,NYK,T. Farmer,/players/f/farmeto01.html,NYK,CHH,V. Divac,/players/d/divacvl01.html,P. Ewing,/players/e/ewingpa01.html,0.0,25,4.166666666666667,25,4.166666666666667
1,199710310DEN,https://www.basketball-reference.com/boxscores/pbp/199710310DEN.html,Denver Nuggets,San Antonio Spurs,DEN,SAS,T. Battie,D. Robinson,D. Robinson,SAS,DEN,T. Duncan,/players/d/duncati01.html,SAS,DEN,D. Robinson,/players/r/robinda01.html,T. Battie,/players/b/battito01.html,1.0,25,4.166666666666667,25,4.166666666666667
2,199710310DET,https://www.basketball-reference.com/boxscores/pbp/199710310DET.html,Detroit Pistons,Washington Wizards,DET,WAS,B. Dele,L. Williams,G. Long,WAS,DET,J. Howard,/players/h/howarju01.html,DET,WAS,L. Williams,/players/w/willilo01.html,B. Dele,/players/d/delebi01.html,0.0,25,4.166666666666667,25,4.166666666666667
3,199710310HOU,https://www.basketball-reference.com/boxscores/pbp/199710310HOU.html,Houston Rockets,Cleveland Cavaliers,HOU,CLE,H. Olajuwon,Z. Ilgauskas,Z. Ilgauskas,HOU,CLE,M. Elie,/players/e/eliema01.html,CLE,HOU,H. Olajuwon,/players/o/olajuha01.html,Z. Ilgauskas,/players/i/ilgauzy01.html,0.0,25,4.166666666666667,25,4.166666666666667
4,199710310LAL,https://www.basketball-reference.com/boxscores/pbp/199710310LAL.html,Los Angeles Lakers,Utah Jazz,LAL,UTA,S. Rooks,G. Ostertag,K. Malone,UTA,LAL,K. Malone,/players/m/malonka01.html,UTA,LAL,G. Ostertag,/players/o/ostergr01.html,S. Rooks,/players/r/rooksse01.html,1.0,25,4.166666666666667,25,4.166666666666667
5,199710310MIA,https://www.basketball-reference.com/boxscores/pbp/199710310MIA.html,Miami Heat,Toronto Raptors,MIA,TOR,P. Brown,M. Camby,J. Mashburn,TOR,MIA,Ž. Tabak,/players/t/tabakza01.html,MIA,TOR,M. Camby,/players/c/cambyma01.html,P. Brown,/players/b/brownpj01.html,0.0,25,4.166666666666667,25,4.166666666666667
6,199710310MIN,https://www.basketball-reference.com/boxscores/pbp/199710310MIN.html,Minnesota Timberwolves,Golden State Warriors,MIN,GSW,C. Parks,E. Dampier,L. Sprewell,GSW,MIN,B. Coles,/players/c/colesbi01.html,GSW,MIN,E. Dampier,/players/d/dampier01.html,C. Parks,/players/p/parksch02.html,1.0,25,4.166666666666667,25,4.166666666666667
7,199710310NJN,https://www.basketball-reference.com/boxscores/pbp/199710310NJN.html,New Jersey Nets,Indiana Pacers,NJN,IND,J. Williams,D. Davis,K. Gill,NJN,IND,K. Gill,/players/g/gillke01.html,NJN,IND,J. Williams,/players/w/willija01.html,D. Davis,/players/d/davisda01.html,1.0,25,4.166666666666667,25,4.166666666666667
8,199710310ORL,https://www.basketball-reference.com/boxscores/pbp/199710310ORL.html,Orlando Magic,Atlanta Hawks,ORL,ATL,R. Seikaly,D. Mutombo,T. Corbin,ATL,ORL,T. Corbin,/players/c/corbity01.html,ATL,ORL,D. Mutombo,/players/m/mutomdi01.html,R. Seikaly,/players/s/seikaro01.html,1.0,25,4.166666666666667,25,4.166666666666667
9,199710310PHI,https://www.basketball-reference.com/boxscores/pbp/199710310PHI.html,Philadelphia 76ers,Milwaukee Bucks,PHI,MIL,C. Weatherspoon,E. Johnson,C. Weatherspoon,MIL,PHI,T. Brandon,/players/b/brandte01.html,PHI,MIL,E. Johnson,/players/j/johnser02.html,C. Weatherspoon,/players/w/weathcl01.html,0.0,25,4.166666666666667,25,4.166666666666667
10,199710310PHO,https://www.basketball-reference.com/boxscores/pbp/199710310PHO.html,Phoenix Suns,Los Angeles Clippers,PHO,LAC,A. McDyess,S. Vranković,S. Vranković,LAC,PHO,L. Vaught,/players/v/vaughlo01.html,LAC,PHO,S. Vranković,/players/v/vrankst01.html,A. McDyess,/players/m/mcdyean01.html,1.0,25,4.166666666666667,25,4.166666666666667
11,199710310POR,https://www.basketball-reference.com/boxscores/pbp/199710310POR.html,Portland Trail Blazers,Seattle SuperSonics,POR,SEA,K. Anderson,J. Kersey,S. Augmon,SEA,POR,V. Baker,/players/b/bakervi01.html,POR,SEA,J. Kersey,/players/k/kerseje01.html,K. Anderson,/players/a/anderke01.html,0.0,25,4.166666666666667,25,4.166666666666667
12,199710310VAN,https://www.basketball-reference.com/boxscores/pbp/199710310VAN.html,Vancouver Grizzlies,Dallas Mavericks,VAN,DAL,O. Thorpe,S. Bradley,S. Bradley,VAN,DAL,A. Peeler,/players/p/peelean01.html,DAL,VAN,O. Thorpe,/players/t/thorpot01.html,S. Bradley,/players/b/bradlsh01.html,0.0,25,4.166666666666667,25,4.166666666666667
13,199711010CHI,https://www.basketball-reference.com/boxscores/pbp/199711010CHI.html,Chicago Bulls,Philadelphia 76ers,CHI,PHI,L. Longley,E. Montross,D. Coleman,CHI,PHI,R. Brown,/players/b/brownra02.html,PHI,CHI,L. Longley,/players/l/longllu01.html,E. Montross,/players/m/montrer01.html,0.0,25,4.166666666666667,25,4.166666666666667
14,199711010IND,https://www.basketball-reference.com/boxscores/pbp/199711010IND.html,Indiana Pacers,Golden State Warriors,IND,GSW,D. Davis,E. Dampier,J. Smith,IND,GSW,D. Davis,/players/d/davisda01.html,GSW,IND,D. Davis,/players/d/davisda01.html,E. Dampier,/players/d/dampier01.html,0.0,22.897263411721102,3.5974082424066722,27.102736588278884,3.5974082424066722
15,199711010LAC,https://www.basketball-reference.com/boxscores/pbp/199711010LAC.html,Los Angeles Clippers,Portland Trail Blazers,LAC,POR,S. Vranković,A. Sabonis,L. Vaught,LAC,POR,B. Barry,/players/b/barrybr01.html,LAC,POR,S. Vranković,/players/v/vrankst01.html,A. Sabonis,/players/s/sabonar01.html,1.0,27.102736588278884,3.5974082424066722,25,4.166666666666667
