Game Code,Full Hyperlink,Home,Away,Home Short,Away Short,Home Tipper,Away Tipper,First Scorer,Tip Winning Team,Tip Losing Team,Possession Gaining Player,Possession Gaining Player Link,First Scoring Team,Scored Upon Team,Tip Winner,Tip Winner Link,Tip Loser,Tip Loser Link,Tip Winner Scores,Home TS Mu,Away TS Mu,Home TS Sigma,Away TS Sigma,Home Lifetime Appearances,Away Lifetime Appearances,Home Tipper Wins,Away Tipper Wins,Home Tipper Losses,Away Tipper Losses,Home Glicko Mu,Away Glicko Mu,Home Glicko Sigma,Away Glicko Sigma,Home Glicko Phi,Away Glicko Phi,Home Elo,Away Elo
200411020DAL,https://www.basketball-reference.com/boxscores/pbp/200411020DAL.html,Dallas Mavericks,Sacramento Kings,DAL,SAC,E. Dampier,B. Miller,J. Howard,DAL,SAC,J. Howard,/players/h/howarjo01.html,DAL,SAC,E. Dampier,/players/d/dampier01.html,B. Miller,/players/m/millebr01.html,1.0,26.783739996040346,21.97426624131031,0.8331157824556924,1.0223553964915302,364,88,210,31,155,58,1747.165126664726,1785.0385222635425,0.6529372730940662,0.6092809577922667,219.6112221297997,224.31543202640339,1323.3511899450925,1156.2613062672265
200411020LAL,https://www.basketball-reference.com/boxscores/pbp/200411020LAL.html,Los Angeles Lakers,Denver Nuggets,LAL,DEN,C. Mihm,M. Camby,C. Mihm,DEN,LAL,A. Miller,/players/m/millean02.html,LAL,DEN,M. Camby,/players/c/cambyma01.html,C. Mihm,/players/m/mihmch01.html,0.0,23.9142664031609,26.89231006441944,0.9433520119971361,0.8328475135710811,104,248,49,145,55,102,1233.100715323543,1859.3172328558576,0.6080842130392211,0.6438778533027245,212.3896929173191,253.6566962638263,1202.417638194443,1334.6450094292147
200411030CLE,https://www.basketball-reference.com/boxscores/pbp/200411030CLE.html,Cleveland Cavaliers,Indiana Pacers,CLE,IND,Z. Ilgauskas,A. Croshere,J. Tinsley,CLE,IND,J. McInnis,/players/m/mcinnje01.html,IND,CLE,Z. Ilgauskas,/players/i/ilgauzy01.html,A. Croshere,/players/c/croshau01.html,0.0,30.497814595136564,18.690566243729446,0.8981966007800248,3.5306814870593275,296,8,237,1,59,8,2131.3266646485595,1350.2305790154112,0.6376107385633573,0.5999994076496266,259.8257514011629,259.65192146001567,1482.262704336008,1176.1618722333608
200411030ORL,https://www.basketball-reference.com/boxscores/pbp/200411030ORL.html,Orlando Magic,Milwaukee Bucks,ORL,MIL,K. Cato,D. Gadzuric,D. Gadzuric,ORL,MIL,G. Hill,/players/h/hillgr01.html,MIL,ORL,K. Cato,/players/c/catoke01.html,D. Gadzuric,/players/g/gadzuda01.html,0.0,25.336688370777203,27.120198843733746,0.8449180218780641,1.5366262089315648,196,30,101,20,95,11,1528.473109702083,1811.930350009508,0.6360552339620342,0.6067864078963319,220.67272706552617,217.5600072720385,1262.8404352865325,1249.7322162291764
200411030TOR,https://www.basketball-reference.com/boxscores/pbp/200411030TOR.html,Toronto Raptors,Houston Rockets,TOR,HOU,L. Woods,Y. Ming,V. Carter,HOU,TOR,M. Taylor,/players/t/tayloma01.html,TOR,HOU,Y. Ming,/players/m/mingya01.html,L. Woods,/players/w/woodslo01.html,0.0,25.0,22.756502567315675,8.333333333333334,1.1471881354526694,1,60,0,22,1,37,1500.0,1542.2051492246585,0.6,0.6091148638328634,500.0,212.20832765891004,1200.0,1176.7816255329562
200411030BOS,https://www.basketball-reference.com/boxscores/pbp/200411030BOS.html,Boston Celtics,Philadelphia 76ers,BOS,PHI,M. Blount,M. Jackson,K. Thomas,PHI,BOS,A. McKie,/players/m/mckieaa01.html,PHI,BOS,M. Jackson,/players/j/jacksma02.html,M. Blount,/players/b/blounma01.html,1.0,24.628243318145824,16.02673683584823,0.8713643951532831,2.1519388201235894,149,29,75,3,74,25,1499.374078473894,1181.806154567778,0.618008136322666,0.5992148933446474,210.09468565129268,293.14851442872583,1225.5627836700376,1121.8396583973758
200411030MEM,https://www.basketball-reference.com/boxscores/pbp/200411030MEM.html,Memphis Grizzlies,Washington Wizards,MEM,WAS,P. Gasol,M. Ruffin,J. Hayes,WAS,MEM,L. Profit,/players/p/profila01.html,WAS,MEM,M. Ruffin,/players/r/ruffimi01.html,P. Gasol,/players/g/gasolpa01.html,1.0,24.370206913331266,17.74890103999881,0.8350358353092632,2.477147305605964,218,23,106,4,112,18,1752.1231299194778,1282.2857568815716,0.6454504583612533,0.5983436760400367,218.75088090732868,218.57136080798747,1218.2359984467735,1144.1693145932984
200411030MIN,https://www.basketball-reference.com/boxscores/pbp/200411030MIN.html,Minnesota Timberwolves,New York Knicks,MIN,NYK,K. Garnett,N. Mohammed,T. Thomas,NYK,MIN,S. Marbury,/players/m/marbust01.html,NYK,MIN,N. Mohammed,/players/m/mohamna01.html,K. Garnett,/players/g/garneke01.html,1.0,25.459080881437355,21.042151249432987,0.8232049574374125,0.9439688148628819,497,121,247,35,250,85,1819.270921560252,1285.4004447760265,0.6887891301686093,0.6239736783648596,231.88437368625614,220.69081127001357,1261.6662698809605,1106.0809571441375
200411030NJN,https://www.basketball-reference.com/boxscores/pbp/200411030NJN.html,New Jersey Nets,Miami Heat,NJN,MIA,J. Collins,S. O'Neal,R. Butler,NJN,MIA,E. Williams,/players/w/willier01.html,MIA,NJN,J. Collins,/players/c/collija04.html,S. O'Neal,/players/o/onealsh01.html,0.0,23.7151212447085,29.074411579263856,0.8509559704549565,0.8493572723600757,169,567,77,421,92,148,1546.5878982466693,2046.5563832438293,0.6363338645273083,0.7135708387970479,230.01467421857004,241.0902762384184,1208.0768374767094,1427.6415894395034
200411030NOH,https://www.basketball-reference.com/boxscores/pbp/200411030NOH.html,New Orleans Hornets,Dallas Mavericks,NOH,DAL,J. Magloire,E. Dampier,M. Finley,DAL,NOH,M. Finley,/players/f/finlemi01.html,DAL,NOH,E. Dampier,/players/d/dampier01.html,J. Magloire,/players/m/magloja01.html,1.0,23.01846313487639,26.826372258651826,0.8506761186704916,0.8340477449633624,180,366,75,211,105,155,1480.4809301491434,1864.1215481677768,0.6248002793774091,0.6528567394009378,226.16311979447585,214.06023539121057,1177.2709220698962,1326.116276039955
200411030SAS,https://www.basketball-reference.com/boxscores/pbp/200411030SAS.html,San Antonio Spurs,Sacramento Kings,SAS,SAC,R. Nesterović,B. Miller,P. Stojaković,SAS,SAC,M. Ginóbili,/players/g/ginobma01.html,SAC,SAS,R. Nesterović,/players/n/nestera01.html,B. Miller,/players/m/millebr01.html,0.0,25.062344454127395,21.910280417913878,1.3848459700201459,1.0198096389997204,36,89,19,31,17,59,1549.4750435670858,1666.9910793747906,0.6080824467463994,0.6092126776441922,213.19041315778216,214.24071640303225,1217.1657742807365,1153.4962201723638
